🦆,Song,Artist,Score,Year,F. Genre(s),B. Genre(s),All descriptors,Comments,BM,Language,Alt. Song Name(s),Alt. Artist Name(s),Notes,Attributes,Owned,Mixtape(s),Added,Conc,ID,Count,A+C,D#,Y#,CI,BC,TC
✓,Return of the Crooklyn Dodgers,Crooklyn Dodgers,3.4,1995,Boom Bap; East Coast Hip Hop; Film Soundtrack,Boom Bap; East Coast Hip Hop; Film Soundtrack; Scenes & Movements; Descriptor Genres,,,,English,,,,[soundtrack]; [yt*],,,12/31/2020,Crooklyn Dodgers - Return of the Crooklyn Dodgers,,02871,2020-12-31 02871,,,1,#f9cb9c,#000000
✓,Live & Learn,Crush 40,3.4,2001,Hard Rock; Video Game Music,Hard Rock; Video Game Music; Soundtrack; Descriptor Genres,,,,English,,,,[soundtrack],,,12/31/2020,Crush 40 - Live & Learn,40,02872,2020-12-31 02872,,,1,#a2c4c9,#000000
✓,Open Face Surgery,Cryptopsy,3.4,1994,Brutal Death Metal; Technical Death Metal,Brutal Death Metal; Technical Death Metal; Rock,,,,English,,,,,,,4/1/2021,Cryptopsy - Open Face Surgery,,02873,2021-04-01 02873,,,2,#134f5c,#fff2cc
✓,Crown of Horns,Cryptopsy,3.4,1996,Brutal Death Metal; Technical Death Metal,Brutal Death Metal; Technical Death Metal; Rock,,,,English,,,Seen live,,$-bandcamp,,12/31/2020,Cryptopsy - Crown of Horns,,02874,2020-12-31 02874,,,3,#5b0f00,#fce5cd
✓,Phobophile,Cryptopsy,3.4,1996,Brutal Death Metal; Technical Death Metal,Brutal Death Metal; Technical Death Metal; Rock,,,,English,,,Seen live,,$-bandcamp,,12/31/2020,Cryptopsy - Phobophile,,02875,2020-12-31 02875,,,4,#5b0f00,#fce5cd
✓,Then He Kissed Me,Crystals,3.4,1963,Girl Group; Brill Building,Girl Group; Brill Building; Pop,,,,English,,,,,,,12/31/2020,Crystals - Then He Kissed Me,,02876,2020-12-31 02876,,,,#3d85c6,#fff2cc
✓,Brain Cell,CunninLynguists,3.4,2005,Conscious Hip Hop; Southern Hip Hop,Conscious Hip Hop; Southern Hip Hop; Scenes & Movements,,,,English,,,,,$-bandcamp,,12/31/2020,CunninLynguists - Brain Cell,,02877,2020-12-31 02877,,,2,#274e13,#f9cb9c
✓,Dreams,CunninLynguists,3.4,2011,Conscious Hip Hop; Southern Hip Hop,Conscious Hip Hop; Southern Hip Hop; Scenes & Movements,,,,English,,,,,,,12/31/2020,CunninLynguists - Dreams,,02878,2020-12-31 02878,,,,#b7b7b7,#cc0000
✓,Boys Don't Cry,Cure,3.4,1979,Post-Punk; New Wave,Post-Punk; New Wave; Rock,,,,English,,,Seen live,,,,12/31/2020,Cure - Boys Don't Cry,,02879,2020-12-31 02879,,,,#f8b5c7,#000000
✓,Lullaby,Cure,3.4,1989,Gothic Rock; Dream Pop,Gothic Rock; Dream P0p; Post-Punk; Alternative Rock,,,,English,,,Seen live,,$-CD Rip,,12/31/2020,Cure - Lullaby,,02880,2020-12-31 02880,,,,#000000,#c3eee4
✓,Five Spot After Dark,Curtis Fuller,3.4,1960,Hard Bop,Hard Bop; Bebop; Jazz,,,,Instrumental,,,,,,,11/1/2021,Curtis Fuller - Five Spot After Dark,,02881,2021-11-01 02881,,,,#ffff00,#cc0000
✓,Freddie's Dead,Curtis Mayfield,3.4,1972,Funk; Chicago Soul; Film Soundtrack,Funk; Chicago Soul; Film Soundtrack; R&B; Descriptor Genres,,,,English,,,,[soundtrack],,,12/31/2020,Curtis Mayfield - Freddie's Dead,,02882,2020-12-31 02882,,,,#c6271a,#ffd333
✓,Superfly,Curtis Mayfield,3.4,1972,Funk; Chicago Soul; Film Soundtrack,Funk; Chicago Soul; Film Soundtrack; R&B; Descriptor Genres,,,,English,,,,[soundtrack],,,12/31/2020,Curtis Mayfield - Superfly,,02883,2020-12-31 02883,,,,#c6271a,#ffd333
✓,"Low Cost, Low Price & High Return",Cymbals,3.4,2000,J–zz Pop; Shibuya-kei,J–zz Pop; Shibuya-kei; Scenes & Movements,,,,English,,,,,,,10/20/2022,"Cymbals - Low Cost, Low Price & High Return",,02884,2022-10-20 02884,,,2,#eb036c,#ffffff
✓,Lend Me an Ear,D.O.C.,3.4,1989,West Coast Hip Hop; Hardcore Hip Hop,West Coast Hip Hop; Hardcore Hip Hop; Scenes & Movements,,,,English,,,,,,,10/1/2021,D.O.C. - Lend Me an Ear,,02885,2021-10-01 02885,,,,#000000,#ffffff
✓,Seventy-Two Nations,Dadawah,3.4,1974,Nyahbinghi,Nyahbinghi; Jamaican Music; Caribbean Music; Regional Music,,,,English,,,,,,,12/31/2020,Dadawah - Seventy-Two Nations,172,02886,2020-12-31 02886,,,,#000000,#fed533
✓,Zion Land,Dadawah,3.4,1974,Nyahbinghi,Nyahbinghi; Jamaican Music; Caribbean Music; Regional Music,,,,English,,,,,,,12/31/2020,Dadawah - Zion Land,,02887,2020-12-31 02887,,,,#000000,#fed533
✓,Know How You Stand,Dadawah,3.4,1974,Nyahbinghi,Nyahbinghi; Jamaican Music; Caribbean Music; Regional Music,,,,English,,,,,,,12/31/2020,Dadawah - Know How You Stand,,02888,2020-12-31 02888,,,,#000000,#fed533
✓,Da Funk,Daft Punk,3.4,1995,French House; Acid House,French House; Acid House; EDM; Dance; Electronic,,,,English,,,,,,,12/31/2020,Daft Punk - Da Funk,,02889,2020-12-31 02889,,,2,#000000,#dd7e6b
✓,Something About Us,Daft Punk,3.4,2001,Downtempo; Synth Funk,Downtempo; Synth Funk; Electronic; R&B,,,,English,,,,,$-GPM,,12/31/2020,Daft Punk - Something About Us,,02890,2020-12-31 02890,,,5,#000000,#00ffff
✓,9 Crimes,Damien Rice,3.4,2006,Singer-Songwriter; Chamber Pop; Indie Folk,Singer-Songwriter; Chamber Pop; Indie Folk; Indie Pop; Contemporary Folk,,,,English,,,,,,,12/31/2020,Damien Rice - 9 Crimes,,02891,2020-12-31 02891,,,1,#fff2cc,#000000
✓,Playa Playa,DAngelo,3.4,2000,Funk; Neo-Soul,Funk; Neo-Soul; R&B,,,,English,,D'Angelo,Already added,,$-iTunes,,8/1/2021,DAngelo - Playa Playa,,02892,2021-08-01 02892,,,4,#660000,#d9d9d9
✓,The Root,DAngelo,3.4,2000,Neo-Soul,Neo-Soul; R&B,,,,English,,D'Angelo,Already added,,$-iTunes,,8/1/2021,DAngelo - The Root,,02893,2021-08-01 02893,,,5,#660000,#d9d9d9
✓,Spanish Joint,DAngelo,3.4,2000,Neo-Soul; Funk,Neo-Soul; Funk; R&B,,,,English,,D'Angelo,,,$-iTunes,,8/1/2021,DAngelo - Spanish Joint,,02894,2021-08-01 02894,,,6,#660000,#d9d9d9
✓,Ain't That Easy,DAngelo,3.4,2014,Funk; Neo-Soul,Funk; Neo-Soul; R&B,,,,English,,D'Angelo,,,$-iTunes CD Rip,,12/31/2020,DAngelo - Ain't That Easy,,02895,2020-12-31 02895,,,,#434343,#d9d9d9
✓,The Charade,DAngelo,3.4,2014,Neo-Soul; Psychedelic Soul,Neo-Soul; Psychedelic Soul; R&B,,,,English,,D'Angelo,,,$-iTunes CD Rip,,12/31/2020,DAngelo - The Charade,,02896,2020-12-31 02896,,,,#434343,#d9d9d9
✓,Really Love,DAngelo,3.4,2014,Neo-Soul; Smooth Soul,Neo-Soul; Smooth Soul; R&B,,,,English,,D'Angelo,,,$-iTunes CD Rip,,12/31/2020,DAngelo - Really Love,,02897,2020-12-31 02897,,,,#434343,#d9d9d9
✓,Shadow in the Frame,Daniel Rossen,3.4,2022,Chamber Folk; Indie Folk,Chamber Folk; Indie Folk; Contemporary Folk,INC; adventure; mysterious; nature,,,English,,,,,,,10/19/2022,Daniel Rossen - Shadow in the Frame,,02898,2022-10-19 02898,,,,#434343,#efefef
✓,Unpeopled Space,Daniel Rossen,3.4,2022,Chamber Folk; Indie Folk; Progressive Folk,Chamber Folk; Indie Folk; Progressive Folk; Contemporary Folk,INC; introspective; melancholic; adventure; nature,,,English,,,,,,,10/19/2022,Daniel Rossen - Unpeopled Space,,02899,2022-10-19 02899,,,,#434343,#efefef
✓,This is Halloween,Danny Elfman,3.4,1993,Show Tunes; Halloween Music; Film Score,Show Tunes; Halloween Music; Film Score; Musical Theatre; Holiday Music; Descriptor Genres; Film Soundtrack,,,,English,,,,[soundtrack],,,12/31/2020,Danny Elfman - This is Halloween,1031,02900,2020-12-31 02900,,,1,#351c75,#f9cb9c
✓,Me4U,Danny L Harle,3.4,2017,Bubblegum Bass; Electropop,Bubblegum Bass; Electropop; EDM; Dance; Electronic; Pop,,,,English,,,,,,,12/31/2020,Danny L Harle - Me4U,,02901,2020-12-31 02901,,,,#274e13,#ffd700
✓,Christmas (Baby Please Come Home),Darlene Love,3.4,1963,Brill Building; Pop Soul; Christmas Music,Brill Building; Pop Soul; Christmas Music; R&B; Holiday Music; Descriptor Genres,INC; Christmas; lush; ethereal; bittersweet; resolute; love; passionate; lonely; anthemic,,,English,,,,,,,12/31/2020,Darlene Love - Christmas (Baby Please Come Home),,02902,2020-12-31 02902,,,,#ffd700,#cc0000
✓,She's Gone,Daryl Hall & John Oates,3.4,1973,Blue-Eyed Soul; Smooth Soul; Pop Rock,Blue-Eyed S0ul; Smooth Soul; Pop Rock; R&B,breakup; lush; passionate; luxurious; diamond; bittersweet; lonely; sunset; melancholic; night; sulking; love,,,English,,,,,,,9/22/2022,Daryl Hall & John Oates - She's Gone,,02903,2022-09-22 02903,,,,#cc0000,#ffff00
✓,I Can't Go for That (No Can Do),Daryl Hall & John Oates,3.4,1981,Pop Soul,Pop Soul; R&B,INC; late night; luxurious; urban night; diamond; lush,,,English,,,,,,,12/15/2022,Daryl Hall & John Oates - I Can't Go for That (No Can Do),,02904,2022-12-15 02904,,,,#000000,#ffff00
✓,Satan in the Wait,Daughters,3.4,2018,Art Punk; Noise Rock,Art Punk; N0ise Rock,,,,English,,,,,,,12/31/2020,Daughters - Satan in the Wait,,02905,2020-12-31 02905,,,,#000000,#efefef
✓,Black,Dave,3.4,2019,Conscious Hip Hop; UK Hip Hop,Conscious Hip Hop; UK Hip Hop; Scenes & Movements,,,,English,,,,,,,12/31/2020,Dave - Black,,02906,2020-12-31 02906,,,,#000000,#a4c2f4
✓,Space Oddity,David Bowie,3.4,1969,Psychedelic Pop; Progressive Pop; Art Rock; Art Pop,Psychedelic Pop; Progressive Pop; Art Rock; Art Pop,INC; space; adventure; melancholic; lonely; epic; bittersweet; anthemic; starry night; fantasy; sulking,,,English,,,,,,,12/31/2020,David Bowie - Space Oddity,2001,02907,2020-12-31 02907,,,,#24a382,#d9ead3
✓,Suffragette City,David Bowie,3.4,1976,Glam Rock,Glam Rock,,,,English,,,,,$-CD Rip,,12/31/2020,David Bowie - Suffragette City,,02908,2020-12-31 02908,,,,#134f5c,#ffd966
✓,★,David Bowie,3.4,2015,Art Rock; Exp–rimental Rock,Art Rock; Exp–rimental Rock,INC; dark; epic; death; light black; mysterious; adventure; surreal; fantasy; scary,,,English,Blackstar,,,,,,12/31/2020,David Bowie - ★,,02909,2020-12-31 02909,,,,#ffffff,#000000
✓,Lazarus,David Bowie,3.4,2015,Art Rock,Art Rock,INC; death; somber; dark; introspective; lonely; bittersweet; anxious; melancholic; light black,,,English,,,,,,,12/31/2020,David Bowie - Lazarus,,02910,2020-12-31 02910,,,,#ffffff,#000000
✓,Without You,David Guetta; ft. Usher,3.4,2011,Electropop; Dance-Pop,Electropop; Dance-Pop; Electronic,INC; love; anthemic; party; catchy; celebration; bittersweet,,,English,,,Seen live - Performed by Usher,,,,12/31/2020,David Guetta; ft. Usher - Without You,,02911,2020-12-31 02911,,,,#2096ce,#ffffff
✓,Kill the Poor,Dead Kennedys,3.4,1980,Hardcore Punk,Hardcore Punk; Punk Rock; Hardcore [Punk],,,,English,,,,,,,12/31/2020,Dead Kennedys - Kill the Poor,,02912,2020-12-31 02912,,,,#000000,#ffd700
✓,HR 8938 Cephei,deadmau5,3.4,2011,Progressive House,Progressive House; EDM; Dance; Electronic,,,,Instrumental,,,,,,,1/1/2021,deadmau5 - HR 8938 Cephei,8938,02913,2021-01-01 02913,,,,#000000,#ffffff
✓,Pets,deadmau5,3.4,2014,Progressive House,Progressive House; EDM; Dance; Electronic,INC; uplifting; sunny day; optimistic; ethereal; lush; celebration; nostalgic; Summer,,,Instrumental,,,,,,,10/20/2022,deadmau5 - Pets,,02914,2022-10-20 02914,,,,#ffffff,#ff0000
✓,Nothing Ever Happened,Deerhunter,3.4,2008,Indie Rock; Neo-Psychedelia,Indie Rock; Neo-Psychedelia; Alternative Rock,INC; epic; noisy; dense; bittersweet; melancholic,,,English,,,,,,,12/31/2020,Deerhunter - Nothing Ever Happened,,02915,2020-12-31 02915,,,1,#e9e2d2,#000000
✓,Bliss,Defender,3.4,2005,French House,French House; EDM; Dance; Electronic,,,,Instrumental,,,,,,,12/31/2020,Defender - Bliss,,02916,2020-12-31 02916,,,1,#000000,#ffffff
✓,Digital Bath,Deftones,3.4,2000,Alternative Rock,Alternative Rock,,,,English,,,,,$-download,,12/31/2020,Deftones - Digital Bath,,02917,2020-12-31 02917,,,3,#999999,#ffffff
✓,Didn't I (Blow Your Mind This Time),Delfonics,3.4,1969,Philly Soul; Smooth Soul,Philly Soul; Smooth Soul; R&B,,,,English,,,,,,,12/31/2020,Delfonics - Didn't I (Blow Your Mind This Time),,02918,2020-12-31 02918,,,,#000000,#ff4500
✓,You Are My High,Demon,3.4,2000,French House,French House; EDM; Dance; Electronic,,,,English,,,,,,,12/31/2020,Demon - You Are My High,,02919,2020-12-31 02919,,,1,#434343,#ffd700
✓,ULT,Denzel Curry,3.4,2016,Trap; Southern Hip Hop; Hardcore Hip Hop,Trap; Southern Hip Hop; Hardcore Hip Hop; Scenes & Movements,,,,English,,,,,,,12/31/2020,Denzel Curry - ULT,,02920,2020-12-31 02920,,,,#666666,#ffff00
✓,Precious,Depeche Mode,3.4,2005,Synthpop,Synthpop; Electronic; Pop,,,,English,,,,,,,12/31/2020,Depeche Mode - Precious,,02921,2020-12-31 02921,,,1,#efefef,#351c75
✓,If Looks Could Kill,Destroy Lonely,3.4,2023,Trap; Southern Hip Hop; Emo Rap,Trap; Southern Hip Hop; Em0 Rap; Scenes & Movements,INC; night; dark; light black; mysterious; ethereal,,,English,,,,,,,3/26/2023,Destroy Lonely - If Looks Could Kill,,02922,2023-03-26 02922,,,,#000000,#fce5cd
✓,In the Dark,Dev,3.4,2011,Romanian Popcorn; Hip House,Romanian Popcorn; Hip House; EDM; Dance-Pop; Electronic,,,,English,,,,,,,12/31/2020,Dev - In the Dark,,02923,2020-12-31 02923,,,,#351c75,#fff2cc
✓,Whip It,Devo,3.4,1980,New Wave; Post-Punk; Synthpop,New Wave; Post-Punk; Synthpop; Rock; Electronic; Pop,,,,English,,,Seen live - Snippet covered by Foo Fighters as part of a medley,,,,12/31/2020,Devo - Whip It,,02924,2020-12-31 02924,,,,#ff0000,#ffffff
✓,Rebirth of Slick (Cool Like Dat),Digable Planets,3.4,1993,J–zz Rap; East Coast Hip Hop,J–zz Rap; East Coast Hip Hop; Scenes & Movements,,,,English,,,,,,,12/31/2020,Digable Planets - Rebirth of Slick (Cool Like Dat),,02925,2020-12-31 02925,,,1,#903db0,#c9daf8
✓,Black Ego,Digable Planets,3.4,1994,Conscious Hip Hop; J–zz Rap; East Coast Hip Hop,Conscious Hip Hop; J–zz Rap; East Coast Hip Hop; Scenes & Movements,,,,English,,,,,,,2/1/2021,Digable Planets - Black Ego,,02926,2021-02-01 02926,,,2,#8e7cc3,#fff2cc
✓,Little Fury Things,Dinosaur Jr.,3.4,1987,Noise Rock; Slacker Rock; Noise Pop,N0ise Rock; Slacker Rock; N0ise P0p; Indie Rock; Alternative Rock,,,,English,,,,,,,9/1/2021,Dinosaur Jr. - Little Fury Things,,02927,2021-09-01 02927,,,,#fff2cc,#a64d79
✓,Are You There (With Another Girl),Dionne Warwick,3.4,1965,Brill Building,Brill Building; Pop,,,,English,,,,,,,6/8/2022,Dionne Warwick - Are You There (With Another Girl),,02928,2022-06-08 02928,,,,#ea9999,#000000
✓,The Last Dance,Disco Inferno,3.4,1993,Post-Punk; Jangle Pop,Post-Punk; Jangle Pop; Pop Rock; Alternative Rock,,,,English,,,,,,,12/31/2020,Disco Inferno - The Last Dance,,02929,2020-12-31 02929,,,1,#134f5c,#ffffff
✓,A Lady of a Certain Age,Divine Comedy,3.4,2006,Chamber Folk; Chamber Pop,Chamber Folk; Chamber Pop; Contemporary Folk; Indie Pop,,,,English,,,,,,,12/31/2020,Divine Comedy - A Lady of a Certain Age,,02930,2020-12-31 02930,,,1,#434343,#b6d7a8
✓,Dollaz + Sense,DJ Quik,3.4,1995,West Coast Hip Hop; Gangsta Rap; G-F–nk,West Coast Hip Hop; Gangsta Rap; G-F–nk; Scenes & Movements; Hardcore Hip Hop,,,,English,,,,,,,12/31/2020,DJ Quik - Dollaz + Sense,,02931,2020-12-31 02931,,,1,#cc0000,#ffffff
✓,The Number Song,DJ Shadow,3.4,1996,Breakbeat; Instrumental Hip Hop; Plunderphonics,Breakbeat; Instrumental Hip Hop; Plunderphonics; EDM; Dance; Electronic; Experimental,,,,English,,,,,$-CD Rip,,12/31/2020,DJ Shadow - The Number Song,,02932,2020-12-31 02932,,,5,#0c343d,#d0e0e3
✓,Changeling,DJ Shadow,3.4,1996,Instrumental Hip Hop; Exp–rimental Hip Hop; Plunderphonics,Instrumental Hip Hop; Exp–rimental Hip Hop; Plunderphonics; Experimental,,,,English,,,,,$-CD Rip,,12/31/2020,DJ Shadow - Changeling,,02933,2020-12-31 02933,,,6,#0c343d,#d0e0e3
✓,What Does Your Soul Look Like (Part 4),DJ Shadow,3.4,1996,Trip Hop; Instrumental Hip Hop; Exp–rimental Hip Hop; Plunderphonics,Trip Hop; Instrumental Hip Hop; Exp–rimental Hip Hop; Plunderphonics; Downtempo; Electronic; Experimental,,,,Instrumental,,,,,$-CD Rip,,12/31/2020,DJ Shadow - What Does Your Soul Look Like (Part 4),,02934,2020-12-31 02934,,,7,#0c343d,#d0e0e3
✓,Mutual Slump,DJ Shadow,3.4,1996,Instrumental Hip Hop; Exp–rimental Hip Hop; Plunderphonics,Instrumental Hip Hop; Exp–rimental Hip Hop; Plunderphonics; Experimental,,,,Instrumental,,,,,$-CD Rip,,12/31/2020,DJ Shadow - Mutual Slump,,02935,2020-12-31 02935,,,8,#0c343d,#d0e0e3
✓,Midtown 120 Blues,DJ Sprinkles,3.4,2008,Deep House,Deep House; EDM; Dance; Electronic,,,,Instrumental,,,,[yt*],$-GPM,,12/31/2020,DJ Sprinkles - Midtown 120 Blues,120,02936,2020-12-31 02936,,,1,#134f5c,#a2c4c9
✓,The Occasional Feel-Good,DJ Sprinkles,3.4,2008,Deep House,Deep House; EDM; Dance; Electronic,,,,Instrumental,,,,[yt*],$-GPM,,12/31/2020,DJ Sprinkles - The Occasional Feel-Good,,02937,2020-12-31 02937,,,2,#134f5c,#a2c4c9
✓,Fote Mogoban,Djeli Moussa Diawara,3.4,1983,Mande Music,Mande Music; West African Music; Regional Music,,,,I don't know,,,,[yt*],,,12/31/2020,Djeli Moussa Diawara - Fote Mogoban,,02938,2020-12-31 02938,,,,#ff9900,#000000
✓,Haidara,Djeli Moussa Diawara,3.4,1983,Mande Music,Mande Music; West African Music; Regional Music,,,,I don't know,,,,[yt*],,,12/31/2020,Djeli Moussa Diawara - Haidara,,02939,2020-12-31 02939,,,,#ff9900,#000000
✓,Yekeke,Djeli Moussa Diawara,3.4,1983,Mande Music,Mande Music; West African Music; Regional Music,,,,I don't know,,,,[yt*],,,12/31/2020,Djeli Moussa Diawara - Yekeke,,02940,2020-12-31 02940,,,,#ff9900,#000000
✓,Yasimika,Djeli Moussa Diawara,3.4,1983,Mande Music,Mande Music; West African Music; Regional Music,,,,I don't know,,,,[yt*],,,12/31/2020,Djeli Moussa Diawara - Yasimika,,02941,2020-12-31 02941,,,,#ff9900,#000000
✓,Juicy,Doja Cat,3.4,2019,Pop Rap; Trap,P0p Rap; Trap; Hip Hop,,,,English,,,Version: *Original*,,,,7/1/2021,Doja Cat - Juicy,,02942,2021-07-01 02942,,,,#b45f06,#fce5cd
✓,Kiss Me More,Doja Cat,3.4,2021,Dance-Pop; Contemporary R&B; Nu-Disco,Dance-Pop; Contemporary R&B; Nu-Disco; EDM; Electronic,INC; catchy; sexual; love; fun,,,English,,,,,,,6/1/2021,Doja Cat - Kiss Me More,,02943,2021-06-01 02943,,,,#a64d79,#ffffff
✓,Don Caballero 3,Don Caballero,3.4,1998,Math Rock,Math Rock,,,,Instrumental,,,,,,,12/31/2020,Don Caballero - Don Caballero 3,,02944,2020-12-31 02944,,,1,#307429,#d9ead3
✓,Change (Makes You Want to Hustle),Donald Byrd,3.4,1975,Jazz-Funk,Jazz-Funk; R&B,,,,English,,,,,,,3/12/2022,Donald Byrd - Change (Makes You Want to Hustle),,02945,2022-03-12 02945,,,,#000000,#8de9fc
✓,Stepping Into Tomorrow,Donald Byrd,3.4,1975,Jazz Fusion; Jazz-Funk,Jazz Fusion; Jazz-Funk; R&B,,,,English,,,,,,,6/2/2022,Donald Byrd - Stepping Into Tomorrow,,02946,2022-06-02 02946,,,,#351c75,#ead1dc
✓,Light My Fire,Doors,3.4,1967,Psychedelic Rock,Psychedelic Rock,,,,English,,,,,,,12/31/2020,Doors - Light My Fire,,02947,2020-12-31 02947,,,,#000000,#bed52f
✓,Man to Man,Dorian Electra,3.4,2018,Synthpop; Dance-Pop; Electropop,Synthpop; Dance-Pop; Electropop; Electronic,INC; catchy,,,English,,,,,,,5/3/2022,Dorian Electra - Man to Man,,02948,2022-05-03 02948,,,,#cfe2f3,#1155cc
✓,Ten Percent,Double Exposure,3.4,1976,Philly Soul; Disco,Philly Soul; Disco; R&B; Dance,,,,English,,,,,,,12/31/2020,Double Exposure - Ten Percent,,02949,2020-12-31 02949,,,,#000000,#88c9c1
✓,Still D.R.E.,Dr. Dre,3.4,1999,West Coast Hip Hop; Gangsta Rap,West Coast Hip Hop; Gangsta Rap; Scenes & Movements; Hardcore Hip Hop,,,,English,,,,,,,12/31/2020,Dr. Dre - Still D.R.E.,,02950,2020-12-31 02950,,,6,#000000,#93c47d
✓,The Watcher,Dr. Dre,3.4,1999,West Coast Hip Hop; Gangsta Rap,West Coast Hip Hop; Gangsta Rap; Scenes & Movements; Hardcore Hip Hop,,,,English,,,,,,,12/31/2020,Dr. Dre - The Watcher,,02951,2020-12-31 02951,,,7,#000000,#93c47d
✓,Forgot About Dre,Dr. Dre,3.4,1999,West Coast Hip Hop; Gangsta Rap,West Coast Hip Hop; Gangsta Rap; Scenes & Movements; Hardcore Hip Hop,,,,English,,,,,,,12/31/2020,Dr. Dre - Forgot About Dre,,02952,2020-12-31 02952,,,8,#000000,#93c47d
✓,What's the Difference,Dr. Dre,3.4,1999,West Coast Hip Hop; Gangsta Rap,West Coast Hip Hop; Gangsta Rap; Scenes & Movements; Hardcore Hip Hop,,,,English,,,,,,,4/1/2021,Dr. Dre - What's the Difference,,02953,2021-04-01 02953,,,9,#000000,#93c47d
✓,Sayaka,Dreamwell,3.4,2021,Emo; Post-Hardcore; Rock,Emo; Post-Hardcore; Rock; Punk; Hardcore [Punk],INC; heavy; dense; noisy; aggressive; passionate; energetic 100; angry; manic; fight song,,,English,,,,,,,4/22/2023,Dreamwell - Sayaka,,02954,2023-04-22 02954,,,,#134f5c,#ff9900
✓,Here Come the Rome Plows,Drive Like Jehu,3.4,1994,Post-Hardcore; Noise Rock; Math Rock,Post-Hardcore; N0ise Rock; Math Rock; Punk; Hardcore [Punk],,,,English,,,,,,,12/31/2020,Drive Like Jehu - Here Come the Rome Plows,,02955,2020-12-31 02955,,,1,#ffffff,#000000
✓,Be the One,Dua Lipa,3.4,2015,Synthpop; Contemporary R&B; Alt-Pop,Synthpop; Contemporary R&B; Alt-Pop; Electronic,,,,English,,,Seen live,,,,12/31/2020,Dua Lipa - Be the One,,02956,2020-12-31 02956,,,,#ead1dc,#000000
✓,New Rules,Dua Lipa,3.4,2017,Dance-Pop; Electropop,Dance-Pop; Electropop; Electronic,,,,English,,,Seen live,,,,12/31/2020,Dua Lipa - New Rules,,02957,2020-12-31 02957,,,,#ead1dc,#000000
✓,East St. Louis Toodle-Oo,Duke Ellington,3.4,1927,Dixieland,Dixieland; Jazz,,,,Instrumental,,,,,,,12/31/2020,Duke Ellington - East St. Louis Toodle-Oo,,02958,2020-12-31 02958,,,,#f9cb9c,#000000
✓,Caravan,Duke Ellington,3.4,1937,Big Band; Sw–ng,Big Band; Sw–ng; Jazz,,,,Instrumental,,,,,,,12/31/2020,Duke Ellington - Caravan,,02959,2020-12-31 02959,,,,#000000,#ffe599
✓,"Take the ""A"" Train [Single Ver.]",Duke Ellington,3.4,1941,Big Band; Sw–ng,Big Band; Sw–ng; Jazz,,,,Instrumental,,,Version: *Single*,,$-CD Rip,,2/1/2021,"Duke Ellington - Take the ""A"" Train [Single Ver.]",,02960,2021-02-01 02960,,,,#434343,#fff2cc
✓,Skin Deep,Duke Ellington,3.4,1953,Progressive Big Band,Progressive Big Band; Jazz,,,,Instrumental,,,,,,,2/1/2021,Duke Ellington - Skin Deep,,02961,2021-02-01 02961,,,,#3d85c6,#ffff00
✓,"Come Sunday (From Black, Brown and Beige)",Duke Ellington,3.4,1958,Big Band,Big Band; Jazz,,,,Instrumental,,,,,,,1/1/2021,"Duke Ellington - Come Sunday (From Black, Brown and Beige)",,02962,2021-01-01 02962,,,,#000000,#e7e0c4
✓,Don't You Know,Durand Jones & The Indications,3.4,2018,Chicago Soul,Chicago Soul; R&B,,,,English,,,,,,,12/31/2020,Durand Jones & The Indications - Don't You Know,,02963,2020-12-31 02963,,,,#000000,#f9cb9c
